Brand,Processor_brand,RAM_GB,RAM_type,Storage_capacity_GB,Graphics_brand,Display_size_inches
Dell,Intel,8,LPDDR5,512,Intel,14
Lenovo,Intel,16,LPDDR5,1000,Intel,14
Lenovo,Intel,16,LPDDR5,1000,Intel,14
Acer,Intel,8,LPDDR5,512,Intel,15.6
Acer,Intel,16,DDR4,512,Intel,15.6
Apple,Apple,18,,512,Apple,16.2
Apple,Apple,8,,1000,Apple,14.2
Apple,Apple,36,,1000,Apple,14.2
Apple,Apple,18,,1000,Apple,14.2
Asus,Intel,8,LPDDR4X,128,Intel,15.6
Lenovo,AMD,8,DDR5,512,NVIDIA,15.6
Dell,Intel,8,DDR4,512,Intel,15.6
Lenovo,AMD,8,DDR4,512,NVIDIA,15.6
HP,Intel,16,DDR4,512,NVIDIA,15.6
Microsoft,Intel,8,LPDDR5,256,Intel,12.4
HP,Intel,8,DDR4,512,NVIDIA,15.6
HP,AMD,16,DDR4,512,AMD,15.6
Asus,AMD,16,DDR4,1000,NVIDIA,15.6
Asus,AMD,16,LPDDR5,512,AMD,14
Asus,Intel,16,DDR4,512,Intel,16
MSI,Intel,16,DDR4,512,NVIDIA,15.6
Lenovo,AMD,16,DDR5,1000,NVIDIA,16
Lenovo,AMD,8,LPDDR5,512,AMD,15.6
Asus,Intel,16,DDR4,512,NVIDIA,16
Asus,Intel,16,DDR4,512,NVIDIA,16
Lenovo,AMD,8,DDR4,512,NVIDIA,15.6
Lenovo,Intel,16,LPDDR5,1000,Intel,14
Asus,Intel,8,DDR4,256,Intel,14
HP,Intel,32,DDR5,1000,NVIDIA,17.3
Lenovo,AMD,8,DDR4,512,NVIDIA,15.6
Acer,Intel,8,DDR4,256,Intel,11.6
Asus,Intel,8,DDR5,512,NVIDIA,17.3
Lenovo,Intel,16,LPDDR5X,1000,Intel,14
Acer,Intel,8,DDR4,128,Intel,11.6
HP,Intel,8,DDR4,512,Intel,15.6
Lenovo,Intel,16,DDR5,1000,NVIDIA,16
HP,Intel,16,DDR4,1000,Intel,14
Acer,Intel,16,DDR4,1000,Intel,14
Lenovo,AMD,8,DDR4,512,NVIDIA,15.6
MSI,AMD,16,DDR5,512,AMD,15.6
HP,Intel,8,DDR4,512,Intel,14
Asus,Intel,16,DDR4,1000,Intel,16
Asus,AMD,16,DDR4,1000,AMD,14
Lenovo,AMD,16,DDR4,512,NVIDIA,15.6
Lenovo,AMD,8,DDR4,512,NVIDIA,15.6
Dell,Intel,8,DDR4,512,Intel,15.6
Dell,Intel,8,DDR4,512,Intel,15.6
Asus,Intel,16,DDR5,1000,NVIDIA,16
Dell,AMD,8,DDR4,512,AMD,15.6
HP,AMD,8,DDR4,512,AMD,15.6
HP,Intel,16,DDR4,512,NVIDIA,15.6
Asus,Intel,16,DDR4,512,Intel,15.6
HP,Intel,16,DDR4,1000,Intel,15.6
HP,Intel,8,DDR4,512,Intel,15.6
Asus,AMD,16,LPDDR5,512,NVIDIA,15.6
Lenovo,Intel,16,LPDDR5,512,Intel,16
HP,AMD,8,DDR4,512,AMD,15.6
HP,AMD,16,DDR4,512,AMD,15.6
Lenovo,Intel,16,LPDDR5,512,Intel,14
Lenovo,AMD,16,LPDDR5,512,AMD,15.6
Asus,AMD,8,LPDDR5,512,AMD,14
HP,AMD,8,DDR4,512,AMD,15.6
Dell,Intel,16,LPDDR5,1000,Intel,14
HP,AMD,8,DDR5,512,NVIDIA,15.6
Lenovo,Intel,16,LPDDR5,1000,Intel,14
MSI,Intel,16,DDR4,512,Intel,14
MSI,Intel,32,DDR5,2000,NVIDIA,16
Dell,Intel,8,DDR4,512,Intel,14
Dell,AMD,8,LPDDR5,1000,AMD,15.6
Dell,Intel,8,DDR4,512,Intel,14
HP,Intel,16,DDR4,512,NVIDIA,15.6
Asus,Intel,8,DDR4,512,Intel,14
HP,Intel,16,DDR5,512,NVIDIA,16.1
